time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_av	arrivals_av	stuck_av	en-route_av	departures_car	arrivals_car	stuck_car	en-route_car	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_undefined	arrivals_undefined	stuck_undefined	en-route_undefined	departures_walk	arrivals_walk	stuck_walk	en-route_walk
00:00:00	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
00:05:00	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:00:00	3600	9	9	0	0	1	1	0	0	3	3	0	0	2	2	0	0	0	0	0	0	3	3	0	0
01:05:00	3900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:20:00	4800	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
01:45:00	6300	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
01:50:00	6600	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02:00:00	7200	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3
02:05:00	7500	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:10:00	7800	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:15:00	8100	1	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:20:00	8400	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
02:25:00	8700	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:30:00	9000	1	1	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
02:35:00	9300	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3
02:40:00	9600	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
02:45:00	9900	1	1	0	4	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3
02:50:00	10200	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3
02:55:00	10500	14	0	0	18	0	0	0	0	3	0	0	3	5	0	0	6	0	0	0	0	6	0	0	9
03:00:00	10800	6	6	0	18	0	0	0	0	5	4	0	4	0	2	0	4	0	0	0	0	1	0	0	10
03:05:00	11100	3	7	0	14	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	3	3	0	10
03:10:00	11400	9	1	0	22	1	0	0	1	2	1	0	5	6	0	0	6	0	0	0	0	0	0	0	10
03:15:00	11700	3	3	0	22	0	0	0	1	0	1	0	4	0	0	0	6	0	0	0	0	3	2	0	11
03:20:00	12000	1	0	0	23	0	0	0	1	1	0	0	5	0	0	0	6	0	0	0	0	0	0	0	11
03:25:00	12300	0	2	0	21	0	0	0	1	0	0	0	5	0	2	0	4	0	0	0	0	0	0	0	11
03:30:00	12600	55	3	0	73	3	0	0	4	40	1	0	44	7	1	0	10	0	0	0	0	5	1	0	15
03:35:00	12900	0	4	0	69	0	1	0	3	0	1	0	43	0	2	0	8	0	0	0	0	0	0	0	15
03:40:00	13200	0	5	0	64	0	1	0	2	0	4	0	39	0	0	0	8	0	0	0	0	0	0	0	15
03:45:00	13500	0	4	0	60	0	0	0	2	0	4	0	35	0	0	0	8	0	0	0	0	0	0	0	15
03:50:00	13800	0	6	0	54	0	0	0	2	0	6	0	29	0	0	0	8	0	0	0	0	0	0	0	15
03:55:00	14100	2	11	0	45	0	0	0	2	2	9	0	22	0	2	0	6	0	0	0	0	0	0	0	15
04:00:00	14400	7	9	0	43	0	1	0	1	3	7	0	18	0	1	0	5	0	0	0	0	4	0	0	19
04:05:00	14700	1	10	0	34	0	1	0	0	0	7	0	11	1	2	0	4	0	0	0	0	0	0	0	19
04:10:00	15000	1	3	0	32	0	0	0	0	1	2	0	10	0	1	0	3	0	0	0	0	0	0	0	19
04:15:00	15300	3	1	0	34	0	0	0	0	2	1	0	11	1	0	0	4	0	0	0	0	0	0	0	19
04:20:00	15600	0	2	0	32	0	0	0	0	0	2	0	9	0	0	0	4	0	0	0	0	0	0	0	19
04:25:00	15900	0	5	0	27	0	0	0	0	0	3	0	6	0	2	0	2	0	0	0	0	0	0	0	19
04:30:00	16200	8	2	0	33	1	1	0	0	1	1	0	6	6	0	0	8	0	0	0	0	0	0	0	19
04:35:00	16500	0	2	0	31	0	0	0	0	0	2	0	4	0	0	0	8	0	0	0	0	0	0	0	19
04:40:00	16800	0	3	0	28	0	0	0	0	0	1	0	3	0	1	0	7	0	0	0	0	0	1	0	18
04:45:00	17100	7	7	0	28	0	0	0	0	0	1	0	2	7	6	0	8	0	0	0	0	0	0	0	18
04:50:00	17400	0	1	0	27	0	0	0	0	0	0	0	2	0	1	0	7	0	0	0	0	0	0	0	18
04:55:00	17700	1	4	0	24	0	0	0	0	0	1	0	1	0	3	0	4	0	0	0	0	1	0	0	19
05:00:00	18000	19	5	0	38	2	0	0	2	9	1	0	9	5	4	0	5	0	0	0	0	3	0	0	22
05:05:00	18300	2	4	0	36	0	2	0	0	1	1	0	9	1	1	0	5	0	0	0	0	0	0	0	22
05:10:00	18600	10	5	0	41	1	0	0	1	4	4	0	9	4	1	0	8	0	0	0	0	1	0	0	23
05:15:00	18900	11	2	0	50	0	0	0	1	0	1	0	8	8	1	0	15	0	0	0	0	3	0	0	26
05:20:00	19200	5	2	0	53	1	0	0	2	2	2	0	8	2	0	0	17	0	0	0	0	0	0	0	26
05:25:00	19500	6	10	0	49	0	0	0	2	2	1	0	9	3	9	0	11	0	0	0	0	1	0	0	27
05:30:00	19800	50	14	0	85	1	3	0	0	16	4	0	21	26	7	0	30	0	0	0	0	7	0	0	34
05:35:00	20100	11	13	0	83	0	0	0	0	1	7	0	15	9	6	0	33	0	0	0	0	1	0	0	35
05:40:00	20400	5	12	0	76	0	0	0	0	3	8	0	10	1	4	0	30	0	0	0	0	1	0	0	36
05:45:00	20700	7	19	0	64	1	0	0	1	1	5	0	6	4	13	0	21	0	0	0	0	1	1	0	36
05:50:00	21000	8	11	0	61	0	0	0	1	7	3	0	10	1	7	0	15	0	0	0	0	0	1	0	35
05:55:00	21300	10	11	0	60	0	1	0	0	0	3	0	7	9	6	0	18	0	0	0	0	1	1	0	35
06:00:00	21600	77	13	0	124	2	0	0	2	42	5	0	44	28	7	0	39	0	0	0	0	5	1	0	39
06:05:00	21900	12	16	0	120	0	0	0	2	3	7	0	40	7	6	0	40	0	0	0	0	2	3	0	38
06:10:00	22200	16	18	0	118	0	1	0	1	10	6	0	44	5	11	0	34	0	0	0	0	1	0	0	39
06:15:00	22500	21	19	0	120	0	1	0	0	9	9	0	44	8	9	0	33	0	0	0	0	4	0	0	43
06:20:00	22800	16	28	0	108	0	0	0	0	5	12	0	37	8	14	0	27	0	0	0	0	3	2	0	44
06:25:00	23100	34	15	0	127	1	0	0	1	24	10	0	51	7	4	0	30	0	0	0	0	2	1	0	45
