pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
AVPickup---AVDropoff	141	89	49	25	23	3	6	1	0	0	0	0	0
AVStay---AVStay	109	1	1	0	0	0	0	0	0	0	0	0	0
Home---Home	49	10	8	11	9	7	6	3	1	2	0	0	11
Home---School	7	12	26	20	26	31	25	18	17	5	6	3	27
Home---Secondary	342	393	349	307	253	153	120	113	63	49	39	28	643
Home---University	2	3	11	8	8	6	7	3	2	0	1	1	7
Home---Work	118	282	268	233	196	154	98	78	31	17	11	12	112
School---Home	6	8	22	14	23	28	26	14	24	12	6	4	14
School---Secondary	7	2	1	0	0	0	1	0	1	0	1	2	1
Secondary---Home	383	452	376	326	267	187	123	96	70	64	42	38	412
Secondary---School	1	1	0	1	0	0	0	0	0	1	0	0	0
Secondary---Secondary	449	371	253	164	116	99	82	71	61	47	32	37	280
Secondary---University	3	1	3	0	0	0	0	0	1	1	0	1	9
Secondary---Work	67	104	47	47	45	33	22	23	18	11	9	13	43
University---Home	2	4	6	6	11	4	5	5	4	1	0	0	2
University---Secondary	2	6	2	2	0	0	0	0	1	0	0	0	11
University---University	0	0	1	0	0	0	0	0	0	0	0	0	0
University---Work	4	4	1	0	0	0	0	0	0	0	0	0	0
Work---Home	97	229	214	224	163	127	85	53	27	11	9	15	85
Work---Secondary	93	148	98	52	49	50	24	41	17	19	17	16	102
Work---University	0	4	0	0	1	0	0	0	0	0	0	0	1
Work---Work	59	39	71	23	15	7	1	1	3	8	1	0	20

average trip duration: 3314.448694869487 seconds = 00:55:14
